Year,Month,Sector,New,Renewal,Issued,Refused,Withdrawn
2013,Jan,Entertainment,3,3,6,0,0
2013,Jan,Industry,30,8,38,5,3
2013,Jan,Medical & Nursing,23,36,59,9,0
2013,Jan,Service Industry,158,30,188,16,8
2013,Jan,Sport,0,1,1,1,0
2013,Feb,Agriculture & Fisheries,2,3,5,1,0
2013,Feb,Catering,11,12,23,10,0
2013,Feb,Domestic,2,2,4,0,0
2013,Feb,Education,3,2,5,1,1
2013,Feb,Entertainment,2,0,2,0,0
2013,Feb,Industry,55,8,63,3,2
2013,Feb,Medical & Nursing,32,24,56,7,0
2013,Feb,Service Industry,113,41,154,24,8
2013,Feb,Sport,0,1,1,0,0
2013,Mar,Agriculture & Fisheries,3,4,7,4,0
2013,Mar,Catering,6,6,12,6,1
2013,Mar,Domestic,1,3,4,1,0
2013,Mar,Education,1,1,2,2,0
2013,Mar,Industry,60,9,69,6,4
2013,Mar,Medical & Nursing,20,12,32,5,1
2013,Mar,Service Industry,139,50,189,10,4
2013,Mar,Sport,4,0,4,1,0
2013,Apr,Agriculture & Fisheries,2,1,3,2,0
2013,Apr,Catering,10,5,15,1,0
2013,Apr,Education,2,2,4,3,0
2013,Apr,Entertainment,1,0,1,0,0
2013,Apr,Industry,36,7,43,6,1
2013,Apr,Medical & Nursing,25,11,36,4,0
2013,Apr,Service Industry,94,30,124,2,0
2013,Apr,Sport,3,1,4,0,0
2013,May,Agriculture & Fisheries,6,1,7,4,0
2013,May,Catering,13,9,22,9,0
2013,May,Domestic,1,2,3,0,0
2013,May,Education,6,2,8,1,0
2013,May,Entertainment,0,2,2,1,0
2013,May,Industry,74,13,87,3,3
2013,May,Medical & Nursing,16,18,34,6,1
2013,May,Service Industry,150,44,194,16,3
2013,May,Sport,0,2,2,0,0
2013,Jun,Agriculture & Fisheries,4,3,7,2,0
2013,Jun,Catering,6,7,13,7,1
2013,Jun,Domestic,1,1,2,0,0
2013,Jun,Education,4,3,7,3,0
2013,Jun,Entertainment,0,1,1,0,0
2013,Jun,Exchange Agreements,7,0,7,0,0
2013,Jun,Industry,41,4,45,6,0
2013,Jun,Medical & Nursing,17,19,36,8,1
2013,Jun,Service Industry,113,34,147,12,3
2013,Jun,Sport,0,3,3,1,0
2013,Jul,Agriculture & Fisheries,1,4,5,2,0
2013,Jul,Catering,5,5,10,14,1
2013,Jul,Domestic,1,1,2,0,0
